Year,Month,Day,Mean Pressure (hPa),Absolute Daily Max (deg. C),Mean (deg. C),Absolute Daily Min (deg. C),Mean Dew Point (deg. C),Mean Relative Humidity (%),Mean Amount of Cloud (%),Total Rainfall (mm),Total Bright Sunshine (hours),Prevailing Wind Direction (degrees),Mean Wind Speed (km/h)
2009,1,1,1024.4,17.2,14.2,11.3,4.6,53,33,0,8.8,360,26.5
2009,1,2,1025.6,16.6,13.7,11.1,4.8,56,10,0,9.6,60,27.1
2009,1,3,1023.2,17.6,15.1,12.4,8.3,64,79,0,6.8,70,34.3
2009,1,4,1020.3,21.1,17,15.1,11.3,70,58,Trace,7.6,70,26.2
2009,1,5,1020.2,19.9,17.2,15.3,13,77,23,0,9.6,70,32
2009,1,6,1020.4,20,17.5,15.9,13.3,77,56,0,9,70,31.4
2009,1,7,1021.6,20,17.2,15.2,11,68,32,0,8.9,360,22
2009,1,8,1024.1,18.6,15.2,12.3,7.3,60,4,0,9.6,360,29.4
2009,1,9,1026,15.2,12.6,9.8,1.3,47,20,0,9.4,360,43.1
2009,1,10,1025.9,15,12,9.4,-4,33,0,0,9.7,360,34.7
2009,1,11,1024.3,16.6,12.5,9.6,1.8,49,8,0,9.6,10,18.9
2009,1,12,1027.6,17.4,13.8,10.7,1.3,45,7,0,9.6,10,26.5
2009,1,13,1029.8,15.9,12.7,9.8,-2.1,36,4,0,9.6,360,29.4
2009,1,14,1029.4,16,12.4,9.8,1.1,47,3,0,9.4,10,22.5
2009,1,15,1028.2,16.7,13.2,10.7,5.2,59,2,0,9.7,60,30.8
2009,1,16,1025.4,17.8,14.4,11.8,8,66,7,0,9.8,60,25
2009,1,17,1022.1,19.6,16.3,13.7,9.7,67,5,0,10.1,40,22.7
2009,1,18,1019.7,23.7,18.8,15.7,14.1,75,22,0,9.7,20,12.3
2009,1,19,1017.3,22,19.2,17,14.3,74,48,0,9.2,30,23.6
2009,1,20,1017.2,20.4,18.1,16.1,13.5,75,71,0,4.6,60,30.5
2009,1,21,1016.9,24.5,20,17.8,15,73,53,0,9.8,20,11.6
2009,1,22,1014.2,21.8,18.7,15.8,13.9,74,48,0,7.5,330,6
2009,1,23,1019.1,19.6,17.5,14.2,11.7,70,81,0,0.7,10,27.4
2009,1,24,1024.9,14.2,11.6,10.7,2.3,53,88,0,0,360,35.1
2009,1,25,1021.9,15.8,13.3,10.7,5.7,60,87,0,2,40,29.8
2009,1,26,1019.7,16.3,14.6,12.7,8.4,66,88,0,0,60,30.5
2009,1,27,1019.8,13.1,12.2,11.4,8.4,78,88,Trace,0,10,20.1
2009,1,28,1018,17.6,15,13.1,12.1,83,81,Trace,1.9,40,26.5
2009,1,29,1016.5,19.2,16.3,14.7,13.1,82,79,0,6,60,22.7
2009,1,30,1015.9,18.3,16,13.9,11,73,34,0,8.6,350,15.2
2009,1,31,1018.3,20.6,16.7,14,11.2,70,31,0,9.7,60,30.2
2009,2,1,1020.2,20.3,17.5,15.8,12.7,74,81,Trace,5.1,60,32.4
2009,2,2,1019.2,21.8,18.6,16,12.7,69,50,0,9,50,24.1
2009,2,3,1017.8,23.3,19.6,17,14.5,73,10,0,10.1,20,7.7
2009,2,4,1017.9,20.9,18.2,16.8,14.6,80,47,0,6.4,50,24.5
2009,2,5,1018.3,23.2,19.1,16.7,15.5,80,36,0,9.9,080#,22.6#
2009,2,6,1019.5,22.5,19.2,17.8,15.3,78,59,0,6.7,80,29.6
